Erko Jun|Streptomyces is the largest genus of Actinobacteria and the type genus of the family Streptomycetaceae.
Mahmoud Al Durrah|The Muhammad al-Durrah incident took place in the Gaza Strip on 30 September 2000, on the second day of the Second Intifada, during widespread rioting throughout the Palestinian territories.
Shaun Stafford Fitness|Melissa Suzanne George (born 6 August 1976) is an Australian-American actress.
Dorian Yates|Dorian Andrew Mientjez Yates (born 19 April 1962) is an English former professional bodybuilder.
Gary Strydom|Gary Strydom (born 1960 in Durban, South Africa) is an American IFBB professional bodybuilder.
Simeon Panda|The northern elephant seal (Mirounga angustirostris) is one of two species of elephant seal (the other is the southern elephant seal).
Ulisses|Ulises is a Portuguese-language given name.
JASON HUH|Quo is the self-titled and only album released by hip hop group Quo, released on October 25, 1994, through Michael Jackson and Epic Records' MJJ Music.
Branch Warren|Branch Warren is an American IFBB professional bodybuilder.
Kai Greene|Leslie Kai Greene (born July 12, 1975), known professionally as Kai Greene or Kai L. Greene, is an American IFBB professional bodybuilder, personal trainer, artist, and actor.
Phil Heath|"Phillip Jerrod ""Phil"" Heath (born December 18, 1979) is an American IFBB professional bodybuilder and the current Mr."
John Cena|John Felix Anthony Cena (; born April 23, 1977) is an American professional wrestler, rapper, actor, and reality television show host.
Randy Orton|Randal Keith Orton (born April 1, 1980) is an American professional wrestler and actor.
Rahul Dravid|Rahul Dravid ( pronunciation ; born 11 January 1973) is a former Indian cricketer and a former captain, widely regarded as one of the greatest batsmen in the history of cricket.
Andy Murray|Sir Andrew Barron Murray,  (born 15 May 1987) is a British professional tennis player from Scotland currently ranked world no.
Ms dhoni is best captain of india|Mahendra Singh Dhoni ( pronunciation ; commonly known as MS Dhoni; born 7 July 1981) is an Indian cricketer who captained the Indian team in limited-overs formats from 11th of September 2007 to 4th of January 2017 and in Test cricket from 2008 to 28th of December 2014.
Every Cricketer Has A Past But Sachin, A History|Sachin Ramesh Tendulkar (; born 24 April 1973) is a former Indian cricketer and a former captain, widely regarded as one of the greatest batsmen of all time.
